Qinwarin Oakenspell
Waescan Farflight
Dorwraek Ravensmile
Zinnorin Winterkind
Morneiros Swiftfall
Beiran Flundrin
Admyar Kapho
Cracan Wierihe
Omaxalim Bodraro
Balpeiros Vunnasiroth
Urikian Diamondfond
Fendan Amberblossom
Vaydark Beechdew
Wranric Hazelmane
Petric Azuremight
Virren Teishont
Genlamin Hamont
Craric Xendriphaluant
Mirakian Monel
Zinlamin Drendrath
Miravalur Wildspark
Eryarus Diamondsense
Dorpetor Elderheel
Ilifir Birchgazer
Waesquinal Eldergazer
Ronan Athent
Petmaer Shivament
Sylric Nardar
Ralogolor Urarie
Sarsandoral Mundriloxe
Umesandoral Mistdew
Erhice Crimsonkind
Glynfir Fircloud
Wranris Woodkind
Raloceran Gemmoon
Waesmaer Nirnaxonn
Vavalur Drurnar
Kelris Davestre
Adhorn Quilpha
Wranlen Seydre
Sylkas Bluebeam
Thelen Oceansong
Theceran Diamondpetal
Carkian Azuresmile
Leohice Stardream
Oloyarus Draeneltondre
Qimenor Dendraca
Adjeon Haldroxo
Beijor Molendrohal
Norvalur Lestesista
